WS_HR,O3,PM10,PM25-3,PM25-2,PM25,ANS
0.5,35,58,64,59,51,43
2.7,60,58,42,43,41,36
2.2,25,36,9,5,6,13
3.1,51,28,21,20,21,34
1.1,15,12,12,6,10,7
2.6,42,38,42,48,39,24
1.6,30,6,10,4,9,10
1.8,18,52,10,6,3,7
4.3,31,29,5,14,16,15
1.2,15,30,20,9,11,6
1.8,7.1,69,34,23,12,16
0.8,47,34,16,25,22,19
1.7,69,89,19,21,31,42
2.3,33,16,6,5,11,11
3.3,18,45,31,18,13,14
3,50,12,13,14,10,17
1.9,28,91,21,32,35,38
2.2,32,52,26,22,14,11
3,33,37,6,11,13,19
1.9,28,15,5,5,6,6
2.7,19,37,3,5,10,9
1.9,35,39,16,11,3,5
1.9,17,16,10,12,12,7
3.3,31,49,33,20,20,17
1.3,19,40,1,9,7,6
3.9,29,58,4,4,3,8
1.7,7.3,33,21,15,17,5
3.7,35,54,20,21,37,37
1.4,18,34,30,26,26,31
2.6,15,18,25,15,10,1
3.6,44,32,34,33,20,20
2.9,13,38,23,25,20,20
1.4,9.3,32,13,11,10,21
1.3,6.8,27,2,9,12,14
2.8,40,49,16,14,13,10
3.7,19,34,14,22,26,27
1.3,17,45,22,24,25,13
3.2,45,54,18,16,14,13
2.9,16,19,26,18,15,4
3.8,43,84,17,33,40,40
2.1,20,6,23,25,28,34
1.8,20,20,12,7,1,1
8.9,19,9,3,0,2,2
6.7,25,5,12,12,12,12
1.6,12,23,7,13,15,16
0.5,11,10,7,15,13,21
2.1,35,39,6,1,4,6
1.5,14,55,20,27,26,27
0.9,74,25,26,25,25,28
1.1,8.7,15,15,16,13,9
0.9,39,28,9,18,16,23
5.1,33,30,14,21,15,25
9.6,17,10,4,2,3,1
2.1,25,47,22,32,36,34
2.9,45,46,30,23,17,11
1.4,11,49,61,62,33,17
0.9,63,53,27,20,26,26
1.3,48,45,18,16,23,27
0.7,11,22,21,21,11,6
0.8,54,53,22,27,20,26
0.3,126,106,59,71,80,71
0.7,99,103,71,80,71,53
2.3,49,74,23,32,30,21
0.7,46,41,0,11,15,19
1.8,23,37,17,18,26,27
2,12,23,15,11,7,11
0.8,19,36,23,22,16,12
1.4,12,29,8,18,8,17
2.3,18,17,13,20,20,11
1.5,1,41,6,4,6,4
2.3,24,19,16,14,12,17
1.9,30,26,14,12,17,10
2.8,66,27,7,31,48,43
1.4,25,37,13,10,15,21
1.2,13,51,16,23,22,18
0.7,14,20,10,9,14,13
3,40,57,36,29,18,11
2.7,41,37,38,36,29,13
1,34,26,7,9,17,20
2.2,53,62,26,27,36,38
1.7,2.5,30,19,16,1,10
2.7,44,33,4,11,16,28
3,88,74,42,46,39,47
1,12,44,20,12,19,17
1.2,100,106,46,47,50,50
1.8,9.7,30,13,21,18,14
1.9,30,53,32,33,40,35
0.9,28,54,24,24,27,31
3.4,57,42,26,15,19,17
1.4,28,8,0,0,0,6
1,108,104,66,62,71,63
0.5,50,44,24,24,18,24
1.2,11,35,12,20,17,18
1,93,120,47,50,70,70
0.9,43,35,6,6,21,14
1.2,10,19,9,9,2,11
1.1,26,76,47,38,26,18
3,34,23,2,0,0,1
1.5,24,32,11,9,7,9
0.6,19,33,38,26,18,18
0.5,34,47,26,18,22,25
2.3,33,47,15,15,19,20
1.7,26,89,36,38,43,43
1.6,87,65,38,33,34,34
2,40,63,41,45,33,27
0.6,38,33,20,23,13,17
2.1,42,2,2,0,8,11
0.8,28,76,38,43,43,54
0.8,35,67,27,30,36,32
0.7,64,77,18,23,32,27
1.2,34,24,13,17,12,12
0.7,69,32,19,18,23,32
0.4,22,44,6,12,12,9
0.9,41,38,6,16,13,14
1.2,13,51,25,29,33,37
0.9,49,111,83,84,85,76
3.3,74,67,34,43,33,26
0.5,45,28,15,12,11,16
2.1,86,125,61,62,63,62
1.5,31,40,10,18,18,19
0.7,51,31,15,19,20,23
1,38,38,30,24,23,27
2.1,93,209,69,100,134,170
1,9.7,25,25,25,26,16
1.8,64,83,48,66,62,67
1.8,26,25,17,9,4,4
0.8,28,91,72,68,66,74
3.1,61,50,9,14,34,48
0.8,18,5,4,8,16,12
1,8.6,27,25,26,16,7
2,40,124,48,60,68,63
2.1,38,38,44,22,13,7
0.8,48,59,31,30,34,40
1.9,41,94,84,79,75,84
0.7,5.7,56,31,26,24,14
0.8,38,160,165,154,131,99
2.1,73,58,21,35,39,47
0.7,27,105,118,94,89,91
2,99,143,49,66,93,106
1.5,46,134,65,62,73,88
2.3,37,85,34,42,33,29
2.1,27,36,52,44,24,7
1.2,28,55,43,40,31,29
1.2,23,121,82,74,57,65
2.2,28,33,26,24,29,35
1.8,44,71,39,29,45,27
0.9,26,74,56,57,49,43
1,21,18,4,9,5,13
1.1,26,19,10,10,3,8
1.4,24,141,42,56,72,69
0.6,47,64,23,27,26,32
0.7,7,6,0,0,0,1
1.2,40,73,37,39,39,35
1,25,12,18,11,14,11
0.6,11,37,14,11,22,14
3.8,33,15,2,0,4,4
1.8,37,42,28,22,17,14
1.7,58,32,6,14,21,20
1.2,28,31,13,9,15,20
0.6,4.5,0,11,3,0,1
1.8,34,48,35,35,26,18
0.5,17,26,0,0,0,3
