id,O3,PM10,PM25-3,PM25-2,PM25,WS_HR,ANS
id_317,33,24,6,6,8,0.2,10
id_318,33,25,6,8,10,1.4,6
id_319,32,17,8,10,6,1,4
id_320,33,24,10,6,4,1.1,7
id_321,31,21,6,4,7,2.2,14
id_322,30,27,4,7,14,1.4,20
id_323,30,21,7,14,20,1.2,17
id_324,30,27,14,20,17,1.3,14
id_325,30,27,20,17,14,1.6,13
id_326,29,25,17,14,13,1.4,9
id_327,30,20,14,13,9,1.2,9
id_328,36,17,13,9,9,1,4
id_329,36,25,9,9,4,0.8,8
id_330,35,19,9,4,8,0.9,5
id_331,36,21,4,8,5,1,14
id_332,38,19,8,5,14,1.8,11
id_333,34,20,5,14,11,1.1,13
id_334,36,21,14,11,13,2.4,4
id_335,33,33,11,13,4,1.9,9
id_336,38,41,13,4,9,2.8,15
id_337,38,43,4,9,15,1.6,23
id_338,39,37,9,15,23,0.7,23
id_339,41,37,15,23,23,0.9,18
id_340,43,35,23,23,18,1.9,10
id_341,44,39,23,18,10,1.8,4
id_342,44,38,18,10,4,0.7,13
id_343,44,47,10,4,13,0.4,14
id_344,40,51,4,13,14,0.8,18
id_345,35,55,13,14,18,1.1,20
id_346,24,56,14,18,20,1,25
id_347,31,41,18,20,25,1.3,24
id_348,25,48,20,25,24,1,14
id_349,27,38,25,24,14,1,15
id_350,33,39,24,14,15,1.7,22
id_351,33,27,14,15,22,1.3,24
id_352,27,17,15,22,24,0.8,16
id_353,29,10,22,24,16,2,7
id_354,32,5,24,16,7,2,7
id_355,23,12,16,7,7,0.4,6
id_356,20,12,7,7,6,0.9,5
id_357,16,10,7,6,5,0.6,2
id_358,12,10,6,5,2,0.7,17
id_359,5.9,23,5,2,17,0.3,15
id_360,11,27,2,17,15,1.2,33
id_361,30,32,17,15,33,0.9,25
id_362,40,27,15,33,25,0.8,30
id_363,48,31,33,25,30,0.8,15
id_364,49,31,25,30,15,2.1,20
id_365,56,47,30,15,20,2.3,30
id_366,60,55,15,20,30,2.4,41
id_367,58,58,20,30,41,2.5,38
id_368,54,50,30,41,38,2.6,34
id_369,34,52,41,38,34,1.5,27
id_370,26,57,38,34,27,1.4,26
id_371,25,58,34,27,26,1.4,27
id_372,25,55,27,26,27,2,22
id_373,23,47,26,27,22,2.1,28
id_374,24,35,27,22,28,2.3,29
id_375,26,26,22,28,29,2.1,27
id_376,28,26,28,29,27,2.2,25
id_377,31,28,29,27,25,1.7,22
id_378,33,32,27,25,22,1.2,23
id_379,32,24,25,22,23,1.7,22
id_380,35,20,22,23,22,1.6,22
id_381,31,25,23,22,22,1.5,23
id_382,27,22,22,22,23,2,11
id_383,20,31,22,23,11,1.3,2
id_384,11,22,23,11,2,0.3,18
id_385,26,50,11,2,18,0.4,31
id_386,30,55,2,18,31,1.2,36
id_387,49,53,18,31,36,2.1,22
id_388,43,40,31,36,22,3.7,22
id_389,48,58,36,22,22,3.5,16
id_390,60,70,22,22,16,1.3,20
id_391,58,72,22,16,20,2.5,16
id_392,43,46,16,20,16,1.9,34
id_393,34,42,20,16,34,0.8,32
id_394,14,44,16,34,32,1,27
id_395,17,56,34,32,27,0.9,17
id_396,19,60,32,27,17,0.6,22
id_397,21,49,27,17,22,0.3,24
id_398,25,43,17,22,24,0.6,17
id_399,19,30,22,24,17,0.6,17
id_400,22,30,24,17,17,0.4,26
id_401,21,28,17,17,26,0.8,25
id_402,29,25,17,26,25,0.3,24
id_403,35,25,26,25,24,0.8,10
id_404,40,15,25,24,10,1.5,7
id_405,40,20,24,10,7,2.3,11
id_406,34,11,10,7,11,1.5,16
id_407,31,20,7,11,16,1.5,19
id_408,38,20,11,16,19,2,9
id_409,43,30,16,19,9,0.6,8
id_410,50,30,19,9,8,1.1,6
id_411,56,42,9,8,6,0.9,32
id_412,63,68,8,6,32,1.8,50
id_413,68,102,6,32,50,2.1,81
id_414,73,136,32,50,81,2,90
id_415,78,165,50,81,90,2.3,109
id_416,76,180,81,90,109,2.2,109
id_417,70,166,90,109,109,1.3,105
id_418,67,148,109,109,105,0.8,102
id_419,64,138,109,105,102,0.9,106
id_420,60,144,105,102,106,1.5,107
id_421,64,139,102,106,107,4.6,92
id_422,61,130,106,107,92,3.3,80
id_423,56,111,107,92,80,2.3,64
id_424,54,89,92,80,64,2.5,52
id_425,50,76,80,64,52,1.9,36
id_426,48,60,64,52,36,2.8,41
id_427,47,48,52,36,41,2.9,46
id_428,40,41,36,41,46,1.3,48
id_429,42,43,41,46,48,1.8,38
id_430,37,38,46,48,38,2,21
id_431,22,22,48,38,21,0.7,11
id_432,11,18,38,21,11,0.5,11
id_433,20,29,21,11,11,0.8,40
id_434,48,75,11,11,40,2.7,64
id_435,65,100,11,40,64,3.3,75
id_436,74,119,40,64,75,2.2,62
id_437,79,110,64,75,62,2.2,50
id_438,73,112,75,62,50,1.8,57
id_439,68,121,62,50,57,2,66
id_440,68,127,50,57,66,1.8,72
id_441,63,135,57,66,72,0.9,77
id_442,45,134,66,72,77,1.1,72
id_443,46,129,72,77,72,1,75
id_444,46,120,77,72,75,1.3,72
id_445,30,123,72,75,72,1.4,69
id_446,38,120,75,72,69,1.2,62
id_447,43,118,72,69,62,1.8,61
id_448,41,102,69,62,61,1.8,59
id_449,41,88,62,61,59,1.9,60
id_450,34,68,61,59,60,1.7,48
id_451,28,65,59,60,48,1,53
id_452,25,70,60,48,53,1.4,60
id_453,23,84,48,53,60,2.1,66
id_454,24,90,53,60,66,2.3,53
id_455,20,90,60,66,53,2.1,55
id_456,25,94,66,53,55,1.1,57
id_457,38,90,53,55,57,0.6,57
id_458,44,93,55,57,57,0.8,51
id_459,54,87,57,57,51,1.3,46
id_460,35,39,18,19,23,1.2,34
id_461,28,18,23,27,33,0.4,21
id_462,42,29,27,33,21,0.5,32
id_463,56,43,33,21,32,1.3,30
id_464,61,52,21,32,30,2.1,36
id_465,62,48,32,30,36,2.1,26
id_466,65,37,30,36,26,2.1,21
id_467,65,32,36,26,21,3.1,19
id_468,61,36,26,21,19,2.8,19
id_469,57,36,21,19,19,2.1,19
id_470,53,36,19,19,19,0.4,18
id_471,42,48,19,19,18,1.3,27
id_472,34,61,19,18,27,1,37
id_473,43,61,18,27,37,1.1,39
id_474,20,57,27,37,39,0.4,31
id_475,32,42,37,39,31,0.9,25
id_476,40,43,39,31,25,1.1,22
id_477,39,37,31,25,22,1,20
id_478,37,45,25,22,20,1.3,13
id_479,28,30,22,20,13,0.5,8
id_480,27,17,20,13,8,0.4,15
id_481,26,9,13,8,15,0.6,13
id_482,28,9,8,15,13,0.8,22
id_483,22,19,15,13,22,1,19
id_484,28,17,13,22,19,1,23
id_485,30,26,22,19,23,1.1,15
id_486,50,22,19,23,15,0.8,17
id_487,46,24,23,15,17,1.7,13
id_488,49,21,15,17,13,2,21
id_489,54,39,17,13,21,2.6,22
id_490,50,52,13,21,22,2.3,33
id_491,47,57,21,22,33,2.1,28
id_492,46,42,22,33,28,2.1,25
id_493,39,29,33,28,25,2,21
id_494,35,28,28,25,21,1.7,23
id_495,27,27,25,21,23,0.2,27
id_496,19,35,21,23,27,1.1,29
id_497,20,28,23,27,29,1.3,30
id_498,22,31,27,29,30,1.8,31
id_499,12,41,29,30,31,0.4,29
id_500,17,44,30,31,29,1.4,31
id_501,11,57,31,29,31,1,26
id_502,12,45,29,31,26,2.3,17
id_503,13,60,31,26,17,1.9,13
id_504,11,46,26,17,13,1.2,18
id_505,11,35,17,13,18,1.9,29
id_506,10,10,13,18,29,2.7,22
id_507,11,2,18,29,22,2.1,21
id_508,8.6,11,29,22,21,2,23
id_509,17,22,22,21,23,0.6,34
id_510,25,43,21,23,34,0.9,32
id_511,33,54,23,34,32,0.9,24
id_512,36,46,34,32,24,1.6,23
id_513,43,39,32,24,23,2.1,28
id_514,47,43,24,23,28,2.7,30
id_515,50,59,23,28,30,3.2,32
id_516,48,50,28,30,32,2.8,24
id_517,49,47,30,32,24,2.4,27
id_518,41,39,32,24,27,0.6,17
id_519,33,40,24,27,17,1,20
id_520,29,29,27,17,20,0.8,20
id_521,33,26,17,20,20,0.7,29
id_522,22,27,20,20,29,1,25
id_523,22,30,20,29,25,0.1,25
id_524,25,37,29,25,25,0.7,22
id_525,29,37,25,25,22,0.9,27
id_526,32,40,25,22,27,1,22
id_527,33,40,22,27,22,1.1,31
id_528,37,36,27,22,31,1.7,32
id_529,39,37,22,31,32,1.9,35
id_530,41,32,31,32,35,2.3,25
id_531,39,25,32,35,25,1.7,14
id_532,37,19,35,25,14,2.1,7
id_533,36,15,25,14,7,1.8,0
id_534,35,15,14,7,0,1.6,2
id_535,37,6,7,0,2,1,7
id_536,40,7,0,2,7,1,11
id_537,44,18,2,7,11,1.3,7
id_538,49,40,7,11,7,1.3,8
id_539,52,45,11,7,8,0.4,12
id_540,51,33,7,8,12,0.2,15
id_541,44,29,8,12,15,0.6,17
id_542,38,25,12,15,17,0.6,9
id_543,37,25,15,17,9,0.8,11
id_544,29,11,17,9,11,1.2,5
id_545,22,10,9,11,5,0.9,7
id_546,20,20,11,5,7,1.4,5
id_547,19,22,5,7,5,1,9
id_548,16,15,7,5,9,1.2,6
id_549,14,10,5,9,6,0.7,6
id_550,13,5,9,6,6,0.8,4
id_551,14,5,6,6,4,0.6,4
id_552,16,0,6,4,4,1.2,0
id_553,17,0,4,4,0,0.5,0
id_554,17,0,4,0,0,0.6,0
id_555,21,7,0,0,0,1.6,2
id_556,15,10,0,0,2,0.7,2
id_557,11,20,0,2,2,0.8,2
id_558,14,13,2,2,2,0.4,8
id_559,18,10,2,2,8,0.5,8
id_560,21,11,2,8,8,1.2,8
id_561,33,27,8,8,8,1,20
id_562,34,31,8,8,20,1.6,28
id_563,33,33,8,20,28,2.3,36
id_564,35,30,20,28,36,1.8,23
id_565,29,33,28,36,23,2.3,21
id_566,28,49,36,23,21,0.8,25
id_567,19,51,23,21,25,0.5,16
id_568,18,52,21,25,16,0.4,19
id_569,10,42,25,16,19,0.6,17
id_570,3.6,34,16,19,17,0.9,18
id_571,4.7,47,19,17,18,1,12
id_572,4.8,33,17,18,12,0.9,13
id_573,4.8,44,18,12,13,0.8,22
id_574,3.6,44,12,13,22,1.4,29
id_575,7.5,55,13,22,29,0.7,21
id_576,5.8,51,22,29,21,0.8,21
id_577,15,42,29,21,21,0.5,14
id_578,22,25,21,21,14,0.5,16
id_579,22,15,21,14,16,0.8,6
id_580,19,10,14,16,6,0.4,11
id_581,18,12,16,6,11,0.7,10
id_582,25,8,6,11,10,1.3,14
id_583,39,7,11,10,14,0.9,8
id_584,44,32,10,14,8,0.7,23
id_585,41,47,14,8,23,1.6,21
id_586,20,77,8,23,21,1.9,29
id_587,54,77,23,21,29,1.6,29
id_588,33,67,21,29,29,1.8,34
id_589,5.4,73,29,29,34,1.4,39
id_590,3.3,66,29,34,39,1.1,40
id_591,0.4,73,34,39,40,0.1,52
id_592,0.1,77,39,40,52,0.6,50
id_593,0.3,73,40,52,50,0.7,50
id_594,1.5,82,52,50,50,0.7,40
id_595,0.3,83,50,50,40,0.6,43
id_596,1.7,93,50,40,43,0.5,46
id_597,3.8,92,40,43,46,0.5,44
id_598,5.9,90,43,46,44,0.8,38
id_599,11,66,46,44,38,0.3,36
id_600,8.3,45,44,38,36,0.7,23
id_601,9.5,41,38,36,23,1,19
id_602,9.6,47,36,23,19,0.2,7
id_603,2.8,65,23,19,7,0.8,21
id_604,1.1,55,19,7,21,1,20
id_605,8.3,57,7,21,20,1.1,25
id_606,18,48,21,20,25,0.2,16
id_607,20,40,20,25,16,1.6,18
id_608,23,40,25,16,18,1.7,20
id_609,23,32,16,18,20,0.8,25
id_610,24,48,18,20,25,0.2,24
id_611,23,48,20,25,24,0.4,25
id_612,36,52,25,24,25,1.3,27
id_613,27,70,24,25,27,2.4,24
id_614,13,77,25,27,24,1.1,23
id_615,13,79,27,24,23,0.9,20
id_616,14,57,24,23,20,0.5,28
id_617,18,44,23,20,28,0.6,41
id_618,23,33,20,28,41,0.6,34
id_619,21,26,28,41,34,1.1,39
id_620,15,35,41,34,39,0.5,32
id_621,11,40,34,39,32,0.6,35
id_622,12,50,39,32,35,0.5,25
id_623,7.9,38,32,35,25,0.6,13
id_624,8.4,33,35,25,13,0.8,12
id_625,11,17,25,13,12,0.4,7
id_626,14,9,13,12,7,1,7
id_627,13,6,12,7,7,1.1,6
id_628,13,13,7,7,6,1.4,7
id_629,14,13,7,6,7,1.7,9
id_630,12,12,6,7,9,0.7,6
id_631,14,4,7,9,6,2,6
id_632,21,12,9,6,6,1.9,4
id_633,21,14,6,6,4,1.2,6
id_634,18,17,6,4,6,1.1,7
id_635,19,16,4,6,7,1,15
id_636,23,26,6,7,15,2.8,12
id_637,22,25,7,15,12,2,7
id_638,22,27,15,12,7,1.9,0
id_639,18,22,12,7,0,1.5,3
id_640,18,22,7,0,3,1.6,5
id_641,18,25,0,3,5,1.3,9
id_642,17,16,3,5,9,0.9,4
id_643,12,11,5,9,4,0.8,8
id_644,8.8,11,9,4,8,0.9,4
id_645,9.4,12,4,8,4,0.3,6
id_646,12,17,8,4,6,0.7,0
id_647,12,8,4,6,0,1,0
id_648,15,7,6,0,0,0.6,0
id_649,16,2,0,0,0,2.1,7
id_650,19,0,0,0,7,0.5,7
id_651,22,0,0,7,7,2.5,5
id_652,20,1,7,7,5,0.7,7
id_653,18,1,7,5,7,1.2,10
id_654,20,1,5,7,10,0.9,10
id_655,22,0,7,10,10,2.2,3
id_656,19,1,10,10,3,0.9,0
id_657,18,1,10,3,0,0.5,0
id_658,19,1,3,0,0,0.8,11
id_659,17,0,0,0,11,1.9,12
id_660,19,0,0,11,12,1.2,12
id_661,23,9,11,12,12,2.5,2
id_662,27,9,12,12,2,1.5,6
id_663,27,9,12,2,6,1.7,6
id_664,26,0,2,6,6,1.6,4
id_665,31,4,6,6,4,2.5,0
id_666,31,8,6,4,0,1.9,1
id_667,32,8,4,0,1,3.3,0
id_668,33,11,0,1,0,4,0
id_669,33,11,1,0,0,0.9,0
id_670,35,12,0,0,0,1.3,4
id_671,37,5,0,0,4,3.6,4
id_672,35,0,0,4,4,1.4,8
id_673,33,1,4,4,8,1.4,9
id_674,31,1,4,8,9,1.9,13
id_675,33,3,8,9,13,3.5,10
id_676,29,2,9,13,10,2.8,4
id_677,30,3,13,10,4,3.3,0
id_678,26,14,10,4,0,1.8,5
id_679,26,14,4,0,5,1.7,5
id_680,26,14,0,5,5,1.4,5
id_681,26,15,5,5,5,1.2,4
id_682,25,15,5,5,4,1.4,3
id_683,25,22,5,4,3,1.5,11
id_684,24,8,4,3,11,1,7
id_685,21,17,3,11,7,1.2,15
id_686,22,9,11,7,15,0.8,8
id_687,21,16,7,15,8,1.2,19
id_688,23,12,15,8,19,0.8,10
id_689,22,12,8,19,10,0.9,9
id_690,24,16,19,10,9,0.5,3
id_691,26,11,10,9,3,0.9,3
id_692,27,20,9,3,3,0.5,4
id_693,30,11,3,3,4,2.2,0
id_694,32,18,3,4,0,2.6,2
id_695,31,17,4,0,2,1.4,1
id_696,32,16,0,2,1,2.3,11
id_697,31,9,2,1,11,1.4,13
id_698,31,14,1,11,13,1.8,13
id_699,32,15,11,13,13,3.2,15
