RM,LSTAT
8.725,4.63
8.04,3.13
7.162999999999999,6.36
7.686,3.92
6.5520000000000005,3.76
5.981,11.65
7.412000000000001,5.25
8.337,2.47
8.247,3.95
6.726,8.05
6.086,10.88
6.631,9.54
7.358,4.73
6.481,6.36
6.606,7.37
6.897,11.38
6.095,12.4
6.358,11.22
6.393,5.19
5.593,12.5
5.605,18.46
6.108,9.16
6.226,10.15
6.433,9.52
6.718,6.56
6.487,5.9
6.438,3.59
6.957000000000001,3.53
8.259,3.54
6.108,6.57
5.876,9.25
7.454,3.11
8.704,5.12
7.332999999999999,7.79
6.8420000000000005,6.9
7.202999999999999,9.59
7.52,7.26
8.398,5.91
7.327000000000001,11.25
7.206,8.1
5.56,10.45
7.013999999999999,14.79
8.297,7.44
7.47,3.16
5.92,13.65
5.856,13.0
6.24,6.59
6.537999999999999,7.73
7.691,6.58
6.757999999999999,3.53
6.854,2.98
7.267,6.05
6.8260000000000005,4.16
6.482,7.19
6.812,4.85
7.82,3.76
6.968,4.59
7.645,3.01
7.922999999999999,3.16
7.087999999999999,7.85
6.452999999999999,8.23
6.23,12.93
6.209,7.14
6.315,7.6
6.565,9.51
6.861000000000001,3.33
7.148,3.56
6.63,4.7
6.127000000000001,8.58
6.0089999999999995,10.4
6.678,6.27
6.5489999999999995,7.39
5.79,15.84
6.345,4.97
7.041,4.74
6.871,6.07
6.59,9.5
6.495,8.67
6.982,4.86
7.236000000000001,6.93
6.6160000000000005,8.93
7.42,6.47
6.849,7.53
6.635,4.54
5.972,9.97
4.973,12.64
6.122000000000001,5.98
6.023,11.72
6.266,7.9
6.567,9.28
5.705,11.5
5.914,18.33
5.782,15.94
6.382000000000001,10.36
6.1129999999999995,12.73
6.426,7.2
6.376,6.87
6.041,7.7
5.707999999999999,11.74
6.415,6.12
6.431,5.08
6.312,6.15
6.082999999999999,12.79
5.867999999999999,9.97
6.332999999999999,7.34
6.144,9.09
5.706,12.43
6.031000000000001,7.83
6.316,5.68
6.31,6.75
6.037000000000001,8.01
5.869,9.8
5.895,10.56
6.059,8.51
5.985,9.74
5.968,9.29
7.2410000000000005,5.49
6.54,8.65
6.696000000000001,7.18
6.874,4.61
6.013999999999999,10.53
5.898,12.67
6.516,6.36
6.635,5.99
6.939,5.89
6.49,5.98
6.579,5.49
5.8839999999999995,7.79
6.728,4.5
5.662999999999999,8.05
5.936,5.57
6.212000000000001,17.6
6.395,13.27
6.127000000000001,11.48
6.112,12.67
6.398,7.79
6.251,14.19
5.362,10.19
5.803,14.64
8.78,5.29
3.5610000000000004,7.12
4.963,14.0
3.863,13.33
4.97,3.26
6.683,3.73
7.016,2.96
6.216,9.53
5.875,8.88
4.906000000000001,34.77
4.138,37.97
7.313,13.44
6.649,23.24
6.794,21.24
6.38,23.69
6.223,21.78
6.968,17.21
6.545,21.08
5.5360000000000005,23.6
5.52,24.56
4.368,30.63
5.277,30.81
4.652,28.28
5.0,31.99
4.88,30.62
5.39,20.85
5.712999999999999,17.11
6.051,18.76
5.0360000000000005,25.68
6.193,15.17
5.8870000000000005,16.35
6.471,17.12
6.405,19.37
5.747000000000001,19.92
5.452999999999999,30.59
5.852,29.97
5.987,26.77
6.343,20.32
6.404,20.31
5.349,19.77
5.531000000000001,27.38
5.683,22.98
4.138,23.34
5.608,12.13
5.617000000000001,26.4
6.852,19.78
5.757000000000001,10.11
6.657,21.22
4.628,34.37
5.155,20.08
4.519,36.98
6.434,29.05
6.782,25.79
5.303999999999999,26.64
5.957000000000001,20.62
6.824,22.74
6.4110000000000005,15.02
6.006,15.7
5.648,14.1
6.103,23.29
5.565,17.16
5.896,24.39
5.837000000000001,15.69
6.202000000000001,14.52
6.193,21.52
6.38,24.08
6.348,17.64
6.832999999999999,19.69
6.425,12.03
6.436,16.22
6.207999999999999,15.17
6.629,23.27
6.461,18.05
6.152,26.45
5.935,34.02
5.627000000000001,22.88
5.818,22.11
6.406000000000001,19.52
6.218999999999999,16.59
6.485,18.85
5.854,23.79
6.459,23.98
6.341,17.79
6.251,16.44
6.185,18.13
6.417000000000001,19.31
6.749,17.44
6.655,17.73
6.297000000000001,17.27
7.393,16.74
6.728,18.71
6.525,18.13
5.976,19.01
5.936,16.94
6.301,16.23
6.081,14.7
6.7010000000000005,16.42
6.376,14.65
6.317,13.99
6.513,10.29
6.209,13.22
5.7589999999999995,14.13
5.952000000000001,17.15
6.002999999999999,21.32
5.926,18.13
5.712999999999999,14.76
6.167000000000001,16.29
6.229,12.87
6.437,14.36
6.98,11.66
5.4270000000000005,18.14
6.162000000000001,24.1
6.484,18.68
5.303999999999999,24.91
6.185,18.03
6.229,13.11
6.242000000000001,10.74
6.75,7.74
7.061,7.01
5.7620000000000005,10.42
5.871,13.34
6.312,10.58
6.114,14.98
5.905,11.45
5.454,18.06
5.414,23.97
5.093,29.68
5.983,18.07
5.983,13.35
5.707000000000001,12.01
5.926,13.59
5.67,17.6
5.39,21.14
5.794,14.1
6.019,12.92
5.569,15.1
6.027,14.33
6.593,9.67
6.12,9.08
6.976,5.64
6.794,6.48
6.03,7.88
